iter	Passed	Remaining
0	0	81
1	1	70
2	1	63
3	2	58
4	3	57
5	3	58
6	4	60
7	5	61
8	5	60
9	6	58
10	7	57
11	7	56
12	8	54
13	8	55
14	9	54
15	10	53
16	10	53
17	11	52
18	12	51
19	12	51
20	13	51
21	14	50
22	14	49
23	15	48
24	16	48
25	16	47
26	17	46
27	17	46
28	18	45
29	19	44
30	19	43
31	20	42
32	20	42
33	21	41
34	22	41
35	23	40
36	23	40
37	24	39
38	24	38
39	25	38
40	25	37
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	30
52	33	29
53	33	28
54	34	28
55	34	27
56	35	26
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	39	22
63	39	22
64	40	21
65	40	21
66	41	20
67	41	19
68	42	19
69	43	18
70	43	17
71	44	17
72	45	16
73	45	16
74	46	15
75	47	14
76	47	14
77	48	13
78	49	13
79	49	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
