iter	Passed	Remaining
0	149	149430
1	151	75396
2	152	50742
3	154	38393
4	156	31197
5	158	26319
6	160	22766
7	161	20081
8	163	17980
9	164	16301
10	165	14911
11	167	13765
12	168	12792
13	170	11985
14	171	11283
15	173	10660
16	174	10113
17	176	9622
18	177	9178
19	179	8783
20	181	8466
21	183	8151
22	184	7850
23	186	7577
24	187	7319
25	189	7082
26	190	6854
27	191	6647
28	193	6472
29	194	6301
30	197	6183
31	199	6033
32	200	5889
33	202	5756
34	204	5639
35	206	5524
36	207	5401
37	209	5291
38	210	5198
39	212	5101
40	213	5003
41	216	4927
42	217	4834
43	218	4757
44	220	4675
45	221	4599
46	223	4523
47	224	4448
48	227	4410
49	229	4351
50	230	4294
51	232	4247
52	234	4194
53	236	4136
54	237	4082
55	239	4037
56	240	3985
57	242	3933
58	243	3887
59	246	3857
60	248	3831
61	250	3792
62	252	3754
63	253	3710
64	255	3669
65	257	3646
66	259	3611
67	260	3572
68	261	3533
69	263	3502
70	265	3469
71	266	3437
72	268	3404
73	269	3376
74	271	3347
75	272	3314
76	274	3286
77	276	3264
78	277	3234
79	278	3205
80	279	3176
81	281	3147
82	281	3114
83	283	3088
84	284	3061
85	285	3035
86	287	3015
87	288	2993
88	290	2973
89	291	2949
90	293	2928
91	295	2913
92	296	2892
93	297	2871
94	299	2851
95	300	2834
96	302	2812
97	303	2792
98	304	2770
99	306	2757
100	307	2738
101	308	2718
102	310	2702
103	312	2689
104	314	2677
105	315	2659
106	316	2641
107	317	2625
108	320	2616
109	321	2599
110	322	2582
111	323	2568
112	325	2553
113	326	2539
114	328	2527
115	329	2513
116	331	2498
117	332	2484
118	333	2469
119	334	2455
120	337	2452
121	339	2440
122	341	2434
123	343	2427
124	345	2418
125	347	2408
126	348	2396
127	350	2388
128	352	2378
129	353	2367
130	356	2363
131	357	2353
132	359	2343
133	360	2332
134	362	2323
135	364	2314
136	366	2305
137	367	2297
138	370	2292
139	372	2285
140	373	2278
141	374	2265
142	376	2258
143	378	2249
144	380	2241
145	381	2232
146	383	2227
147	385	2218
148	387	2211
149	389	2204
150	390	2196
151	393	2193
152	394	2185
153	396	2176
154	398	2170
155	399	2163
156	401	2156
157	403	2149
158	405	2143
159	406	2136
160	407	2125
161	409	2118
162	411	2115
163	413	2107
164	415	2100
165	416	2093
166	418	2086
167	419	2078
168	421	2071
169	423	2065
170	425	2062
171	427	2056
172	428	2049
173	430	2043
174	431	2035
175	433	2028
176	434	2022
177	436	2015
178	437	2008
179	439	2001
180	441	1997
181	443	1991
182	444	1984
183	446	1978
184	447	1973
185	449	1967
186	451	1963
187	453	1958
188	455	1953
189	456	1946
190	458	1940
191	460	1936
192	462	1932
193	463	1926
194	465	1923
195	467	1919
196	469	1913
197	471	1908
198	472	1902
199	474	1896
200	475	1890
201	477	1884
202	479	1880
203	480	1875
204	482	1870
205	484	1866
206	486	1862
207	487	1856
208	489	1850
209	490	1845
210	491	1838
211	493	1832
212	494	1827
213	496	1822
214	497	1816
215	498	1810
216	499	1804
217	501	1797
218	503	1795
219	504	1790
220	506	1783
221	507	1778
222	509	1774
223	510	1769
